PanProtein	has_length	translates_from_PanGene	member_of_PanProteinCluster
PAN13385	164	pan_13385	PANCL12824
PAN10811	396	pan_10811	PANCL3630
PAN10980	300	pan_10980	PANCL10454
PAN4871	173	pan_4871	PANCL8
PAN9743	208	pan_9743	PANCL11641
PAN5529	174	pan_5529	PANCL3751
PAN10535	342	pan_10535	PANCL8002
PAN2810	377	pan_2810	PANCL8002
PAN2523	275	pan_2523	PANCL1383
PAN7076	287	pan_7076	PANCL1266
PAN6693	239	pan_6693	PANCL6693
PAN10362	388	pan_10362	PANCL10362
PAN8905	173	pan_8905	PANCL7659
PAN100	384	pan_100	PANCL13812
PAN12102	165	pan_12102	PANCL12044
PAN313	553	pan_313	PANCL313
PAN9665	165	pan_9665	PANCL7353
PAN7225	264	pan_7225	PANCL8
PAN437	274	pan_437	PANCL1383
PAN7604	163	pan_7604	PANCL6897
PAN5366	285	pan_5366	PANCL750
PAN2404	384	pan_2404	PANCL6368
PAN12634	275	pan_12634	PANCL1383
PAN8800	301	pan_8800	PANCL13881
PAN10468	165	pan_10468	PANCL7449
PAN13080	233	pan_13080	PANCL8485
PAN6066	350	pan_6066	PANCL13763
PAN73	275	pan_73	PANCL1383
PAN3143	220	pan_3143	PANCL3144
PAN12690	309	pan_12690	PANCL5365
PAN523	382	pan_523	PANCL8002
PAN10230	298	pan_10230	PANCL1780
PAN2124	287	pan_2124	PANCL1266
PAN11116	286	pan_11116	PANCL11116
PAN13570	345	pan_13570	PANCL12746
PAN11068	355	pan_11068	PANCL10457
PAN982	247	pan_982	PANCL519
PAN2847	258	pan_2847	PANCL2948
PAN12600	294	pan_12600	PANCL6752
PAN1509	249	pan_1509	PANCL2948
PAN12046	174	pan_12046	PANCL8140
PAN7247	344	pan_7247	PANCL4133
PAN11687	313	pan_11687	PANCL13672
PAN11233	300	pan_11233	PANCL9081
PAN1380	287	pan_1380	PANCL1266
PAN11470	542	pan_11470	PANCL817
PAN8737	298	pan_8737	PANCL1780
PAN2781	140	pan_2781	PANCL651
PAN976	388	pan_976	PANCL46
PAN24	287	pan_24	PANCL1266
PAN4533	398	pan_4533	PANCL13812
PAN5480	264	pan_5480	PANCL8
PAN3715	398	pan_3715	PANCL13812
PAN6120	382	pan_6120	PANCL8002
PAN7218	303	pan_7218	PANCL1070
PAN10566	398	pan_10566	PANCL13812
PAN11373	398	pan_11373	PANCL13812
PAN2553	304	pan_2553	PANCL2553
PAN9518	640	pan_9518	PANCL8755
PAN4397	267	pan_4397	PANCL11647
PAN10987	171	pan_10987	PANCL7357
PAN3351	398	pan_3351	PANCL13812
PAN724	275	pan_724	PANCL1383
PAN798	287	pan_798	PANCL1266
PAN6010	264	pan_6010	PANCL8
PAN12564	162	pan_12564	PANCL7127
PAN13164	189	pan_13164	PANCL13164
PAN8185	220	pan_8185	PANCL1072
PAN13804	179	pan_13804	PANCL13804
PAN3811	394	pan_3811	PANCL13812
PAN1631	391	pan_1631	PANCL1502
PAN5137	390	pan_5137	PANCL5214
PAN1046	287	pan_1046	PANCL1266
PAN10477	168	pan_10477	PANCL8206
PAN8692	307	pan_8692	PANCL8543
PAN10243	164	pan_10243	PANCL12824
PAN2540	287	pan_2540	PANCL1266
PAN13808	166	pan_13808	PANCL10885
PAN1278	287	pan_1278	PANCL1266
PAN9734	167	pan_9734	PANCL9734
PAN11358	275	pan_11358	PANCL1383
PAN486	276	pan_486	PANCL1383
