PanProtein	is_ecoli_homolog
pan_1_v1.0.1_identical	0
pan_2_v1.0.1_identical	0
pan_3_v1.0.1_identical	0
pan_4_v1.0.1_identical	0
pan_5_v1.0.1_identical	0
pan_6_v1.0.1_identical	0
pan_7_v1.0.1_identical	0
pan_8_v1.0.1_identical	0
pan_9_v1.0.1_identical	0
pan_10_v1.0.1_identical	0
pan_11_v1.0.1_identical	0
pan_12_v1.0.1_identical	0
pan_13_v1.0.1_identical	0
pan_15_v1.0.1_identical	0
pan_16_v1.0.1_identical	0
pan_17_v1.0.1_identical	0
pan_18_v1.0.1_identical	0
pan_19_v1.0.1_identical	0
pan_20_v1.0.1_identical	0
pan_21_v1.0.1_identical	0
pan_22_v1.0.1_identical	0
pan_23_v1.0.1_identical	0
pan_24_v1.0.1_identical	0
pan_25_v1.0.1_identical	0
pan_26_v1.0.1_identical	0
pan_27_v1.0.1_identical	0
pan_28_v1.0.1_identical	0
pan_29_v1.0.1_identical	0
pan_30_v1.0.1_identical	0
pan_31_v1.0.1_identical	0
pan_32_v1.0.1_identical	0
pan_33_v1.0.1_identical	0
pan_34_v1.0.1_identical	0
pan_35_v1.0.1_identical	0
pan_36_v1.0.1_identical	0
pan_37_v1.0.1_identical	0
pan_38_v1.0.1_identical	0
pan_39_v1.0.1_identical	0
pan_40_v1.0.1_identical	0
pan_41_v1.0.1_identical	0
pan_42_v1.0.1_identical	0
pan_43_v1.0.1_identical	0
pan_44_v1.0.1_identical	0
pan_45_v1.0.1_identical	0
pan_47_v1.0.1_identical	0
pan_48_v1.0.1_identical	0
pan_49_v1.0.1_identical	0
pan_50_v1.0.1_identical	0
pan_51_v1.0.1_identical	0
pan_52_v1.0.1_identical	0
pan_53_v1.0.1_identical	0
pan_54_v1.0.1_identical	0
pan_55_v1.0.1_identical	0
pan_56_v1.0.1_identical	0
pan_57_v1.0.1_identical	0
pan_58_v1.0.1_identical	0
pan_59_v1.0.1_identical	0
pan_60_v1.0.1_identical	0
pan_61_v1.0.1_identical	0
pan_62_v1.0.1_identical	0
pan_63_v1.0.1_identical	0
pan_64_v1.0.1_identical	0
pan_65_v1.0.1_identical	0
pan_66_v1.0.1_identical	0
pan_67_v1.0.1_identical	0
pan_68_v1.0.1_identical	0
pan_69_v1.0.1_identical	0
pan_71_v1.0.1_identical	0
pan_72_v1.0.1_identical	0
pan_73_v1.0.1_identical	0
pan_74_v1.0.1_identical	0
pan_75_v1.0.1_identical	0
pan_76_v1.0.1_identical	0
pan_77_v1.0.1_identical	0
pan_78_v1.0.1_identical	0
pan_79_v1.0.1_identical	0
pan_80_v1.0.1_identical	0
pan_81_v1.0.1_identical	0
pan_82_v1.0.1_identical	0
pan_83_v1.0.1_identical	0
pan_84_v1.0.1_identical	0
pan_85_v1.0.1_identical	0
pan_86_v1.0.1_identical	0
pan_87_v1.0.1_identical	0
pan_88_v1.0.1_identical	0
pan_89_v1.0.1_identical	0
pan_90_v1.0.1_identical	0
pan_91_v1.0.1_identical	0
pan_92_v1.0.1_identical	0
pan_93_v1.0.1_identical	0
pan_94_v1.0.1_identical	0
pan_95_v1.0.1_identical	0
pan_96_v1.0.1_identical	0
pan_97_v1.0.1_identical	0
pan_98_v1.0.1_identical	0
pan_99_v1.0.1_identical	0
pan_100_v1.0.1_identical	0
pan_101_v1.0.1_identical	0
pan_102_v1.0.1_identical	0
pan_103_v1.0.1_identical	0
pan_104_v1.0.1_identical	0
pan_105_v1.0.1_identical	0
pan_106_v1.0.1_identical	0
pan_107_v1.0.1_identical	0
pan_108_v1.0.1_identical	0
pan_109_v1.0.1_identical	0
pan_110_v1.0.1_identical	0
pan_111_v1.0.1_identical	0
pan_112_v1.0.1_identical	0
pan_113_v1.0.1_identical	0
pan_114_v1.0.1_identical	0
pan_115_v1.0.1_identical	0
pan_117_v1.0.1_identical	0
pan_118_v1.0.1_identical	0
pan_119_v1.0.1_identical	0
pan_120_v1.0.1_identical	0
pan_121_v1.0.1_identical	0
pan_122_v1.0.1_identical	0
pan_123_v1.0.1_identical	0
pan_124_v1.0.1_identical	0
pan_125_v1.0.1_identical	0
pan_126_v1.0.1_identical	0
pan_127_v1.0.1_identical	0
pan_128_v1.0.1_identical	0
pan_129_v1.0.1_identical	0
pan_130_v1.0.1_identical	0
pan_131_v1.0.1_identical	0
pan_132_v1.0.1_identical	0
pan_133_v1.0.1_identical	0
pan_134_v1.0.1_identical	0
pan_135_v1.0.1_identical	0
pan_136_v1.0.1_identical	0
pan_137_v1.0.1_identical	0
pan_138_v1.0.1_identical	0
pan_139_v1.0.1_identical	0
pan_140_v1.0.1_identical	0
pan_141_v1.0.1_identical	0
pan_142_v1.0.1_identical	0
pan_143_v1.0.1_identical	0
pan_144_v1.0.1_identical	0
pan_145_v1.0.1_identical	0
pan_146_v1.0.1_identical	0
pan_147_v1.0.1_identical	0
pan_148_v1.0.1_identical	0
pan_149_v1.0.1_identical	0
pan_150_v1.0.1_identical	0
pan_151_v1.0.1_identical	0
pan_152_v1.0.1_identical	0
pan_153_v1.0.1_identical	0
pan_155_v1.0.1_identical	0
pan_156_v1.0.1_identical	0
pan_157_v1.0.1_identical	0
pan_158_v1.0.1_identical	0
pan_159_v1.0.1_identical	0
pan_160_v1.0.1_identical	1
pan_161_v1.0.1_identical	0
pan_162_v1.0.1_identical	0
pan_163_v1.0.1_identical	0
pan_164_v1.0.1_identical	0
pan_165_v1.0.1_identical	0
pan_166_v1.0.1_identical	0
pan_167_v1.0.1_identical	0
pan_168_v1.0.1_identical	0
pan_169_v1.0.1_identical	0
pan_170_v1.0.1_identical	0
pan_171_v1.0.1_identical	0
pan_172_v1.0.1_identical	0
pan_173_v1.0.1_identical	0
pan_174_v1.0.1_identical	0
pan_175_v1.0.1_identical	0
pan_177_v1.0.1_identical	0
pan_178_v1.0.1_identical	0
pan_179_v1.0.1_identical	0
pan_180_v1.0.1_identical	0
pan_181_v1.0.1_identical	0
pan_182_v1.0.1_identical	0
pan_183_v1.0.1_identical	0
pan_184_v1.0.1_identical	0
pan_185_v1.0.1_identical	0
pan_186_v1.0.1_identical	0
pan_187_v1.0.1_identical	0
pan_188_v1.0.1_identical	0
